tanggal,lintang,bujur,kedalaman,magnitudo,class
2024-01-25 15:03:49,-8.3,121.15651,10.0,3.24,Lemah
2024-01-25 15:28:41,-8.28,121.16643,10.0,2.88,Lemah
2024-01-25 16:04:40,-8.33,121.17155,18.4,2.93,Lemah
2024-01-25 16:27:43,-8.23,121.17262,10.5,3.45,Lemah
2024-01-25 16:42:45,-8.27,121.14871,10.0,3.77,Lemah
2024-01-25 17:33:42,-8.24,121.16827,10.0,3.2,Lemah
2024-01-25 17:40:12,-1.99,134.26666,10.0,3.21,Lemah
2024-01-25 18:29:45,0.92,120.23193,106.0,5.2,Sedang
2024-01-25 18:37:47,-8.36,121.19446,21.0,2.44,Lemah
2024-01-25 18:39:00,-3.03,139.80333,104.3,4.65,Sedang
2024-01-25 18:52:43,-10.18,124.04275,10.0,3.6,Lemah
2024-01-25 18:56:18,-8.27,121.19898,10.6,2.9,Lemah
2024-01-25 19:06:23,-8.28,121.17772,26.9,3.0,Lemah
2024-01-25 19:39:05,-7.32,107.6451,10.0,1.71,Lemah
2024-01-25 22:05:13,-8.34,121.18884,19.2,3.27,Lemah
2024-01-25 22:13:06,-8.36,121.18137,22.4,3.26,Lemah
2024-01-25 22:48:50,-8.21,121.18314,10.0,3.63,Lemah
2024-01-26 00:03:22,-8.26,121.16734,10.0,3.63,Lemah
2024-01-26 01:37:43,-6.73,106.54259,10.1,2.56,Lemah
2024-01-26 01:41:51,-8.31,121.1937,14.1,2.87,Lemah
2024-01-26 01:46:09,-8.31,121.18844,14.5,3.03,Lemah
2024-01-26 02:52:02,-0.05,123.47866,115.8,3.21,Lemah
2024-01-26 02:55:23,-8.36,121.201,23.8,3.24,Lemah
2024-01-26 02:58:15,-8.22,121.20998,10.0,3.15,Lemah
2024-01-26 03:51:01,-7.34,106.35339,32.1,3.3,Lemah
2024-01-26 04:26:57,-8.3,121.16193,19.6,2.4,Lemah
2024-01-26 04:32:50,-7.84,118.97943,34.9,3.04,Lemah
2024-01-26 04:45:49,-8.36,116.4499,11.8,2.82,Lemah
2024-01-26 04:51:51,-8.33,121.18594,16.0,2.28,Lemah
2024-01-26 04:53:21,-8.33,121.1898,15.8,2.37,Lemah
2024-01-26 04:54:46,-10.13,124.06013,12.7,2.72,Lemah
2024-01-26 05:06:51,-5.87,105.94096,190.5,2.68,Lemah
2024-01-26 05:16:21,-10.28,124.19742,32.1,3.12,Lemah
2024-01-26 05:21:47,-8.23,121.16491,14.4,2.58,Lemah
2024-01-26 05:42:42,-6.78,106.50393,10.0,2.28,Lemah
2024-01-26 05:52:50,-8.0,107.20648,20.8,2.79,Lemah
2024-01-26 06:02:48,-8.19,121.14292,10.0,3.26,Lemah
2024-01-26 06:27:13,-8.32,121.17457,10.0,2.37,Lemah
2024-01-26 06:30:32,-9.19,123.75226,58.6,2.8,Lemah
